,standard,standard,normalized,normalized,all,all
,Dev,Val,Dev,Val,Dev,Val
category,,,,,,
Cloud Shadows,28.5±21.6%,61.5%,67.3±33.4%,96.3%,24.3±35.0%,92.7%
Clouds,66.9±14.3%,79.9%,74.7±5.9%,64.0%,74.4±12.4%,84.5%
Non-Organic Debris,66.9±16.7%,49.5%,70.2±15.4%,53.5%,67.0±16.6%,49.7%
Organic Debris,27.6±24.7%,30.1%,29.2±34.7%,39.6%,22.6±36.4%,20.6%
Other Water types,97.6±3.0%,96.2%,98.6±1.0%,96.3%,98.0±2.7%,97.8%
Sargassum,94.3±2.8%,87.7%,93.4±2.4%,89.5%,93.9±3.1%,89.0%
Ship,62.7±12.1%,63.1%,66.1±12.7%,65.1%,66.8±12.1%,65.7%
accuracy,93.7±5.3%,90.5%,96.1±2.4%,91.9%,94.8±4.9%,94.0%
macro avg,63.5±4.3%,66.9%,71.4±9.5%,72.0%,63.9±12.9%,71.4%
